"AAR";"PX_DATA";"BOSTED_FYLKE_NR_NAVN";"ALDER_GRUPPE_5AARIG";"HOVEDGRUPPETEKST";"KJONN"
"2024";484;"39 Vestfold";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";642;"34 Innlandet";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";605;"42 Agder";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";2001;"03 Oslo";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";1680;"32 Akershus";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";756;"50 Trøndelag - Trööndelage";"25-29 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";3506;"40 Telemark";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2024";1939;"55 Troms - Romsa - Tromssa ";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"97 Svalbard og øvrige områder";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2025";2894;"33 Buskerud";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2025";6455;"46 Vestland";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2024";12208;"32 Akershus";"I alt";"Arbeidssøkere på tiltak";"Kvinner"
"2024";381;"40 Telemark";"45-49 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";;"Ukjent";"45-49 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";713;"42 Agder";"45-49 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";1292;"32 Akershus";"45-49 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"97 Svalbard og øvrige områder";"55-59 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";226;"31 Østfold";"55-59 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";368;"03 Oslo";"55-59 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";106;"34 Innlandet";"60-64 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";167;"42 Agder";"60-64 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";46;"31 Østfold";"60-64 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";206;"46 Vestland";"60-64 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";680;"31 Østfold";"35-39 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";947;"31 Østfold";"35-39 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";1581;"03 Oslo";"35-39 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";474;"15 Møre og Romsdal";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";437;"11 Rogaland";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";398;"33 Buskerud";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";496;"33 Buskerud";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";669;"34 Innlandet";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";408;"42 Agder";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";485;"03 Oslo";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";606;"32 Akershus";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";1020;"32 Akershus";"20-24 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";;"15 Møre og Romsdal";"65-69 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"Ukjent";"65-69 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"31 Østfold";"65-69 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"18 Nordland - Nordlánnda";"65-69 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"50 Trøndelag - Trööndelage";"65-69 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"15 Møre og Romsdal";"70 år og over";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"33 Buskerud";"70 år og over";"Arbeidssøkere på tiltak";"Kvinner"
"2025";;"39 Vestfold";"70 år og over";"Arbeidssøkere på tiltak";"Kvinner"
"2025";;"34 Innlandet";"70 år og over";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"42 Agder";"70 år og over";"Arbeidssøkere på tiltak";"Kvinner"
"2025";1282;"I alt";"19 år og under";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"Ukjent";"19 år og under";"Arbeidssøkere på tiltak";"Kvinner"
"2024";115;"11 Rogaland";"19 år og under";"Arbeidssøkere på tiltak";"Kvinner"
"2025";66;"03 Oslo";"19 år og under";"Arbeidssøkere på tiltak";"Kvinner"
"2024";145;"03 Oslo";"19 år og under";"Arbeidssøkere på tiltak";"Kvinner"
"2024";437;"40 Telemark";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";645;"15 Møre og Romsdal";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"97 Svalbard og øvrige områder";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";378;"33 Buskerud";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";581;"34 Innlandet";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";1415;"32 Akershus";"30-34 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";160;"55 Troms - Romsa - Tromssa ";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";;"97 Svalbard og øvrige områder";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";554;"39 Vestfold";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";839;"34 Innlandet";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";991;"46 Vestland";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";1819;"32 Akershus";"40-44 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";139;"40 Telemark";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";238;"15 Møre og Romsdal";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";152;"55 Troms - Romsa - Tromssa ";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";548;"11 Rogaland";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";174;"33 Buskerud";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";503;"42 Agder";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";298;"50 Trøndelag - Trööndelage";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2024";97;"56 Finnmark - Finnmárku - Finmarkku";"50-54 år";"Arbeidssøkere på tiltak";"Kvinner"
"2025";1637;"55 Troms - Romsa - Tromssa ";"I alt";"Delvis ledige";"Kvinner"
"2024";436;"Ukjent";"I alt";"Delvis ledige";"Kvinner"
"2024";13;"97 Svalbard og øvrige områder";"I alt";"Delvis ledige";"Kvinner"
"2024";7498;"39 Vestfold";"I alt";"Delvis ledige";"Kvinner"
"2024";14264;"46 Vestland";"I alt";"Delvis ledige";"Kvinner"
"2024";1189;"11 Rogaland";"45-49 år";"Delvis ledige";"Kvinner"
"2025";618;"33 Buskerud";"45-49 år";"Delvis ledige";"Kvinner"
"2024";2013;"03 Oslo";"45-49 år";"Delvis ledige";"Kvinner"
"2025";267;"56 Finnmark - Finnmárku - Finmarkku";"45-49 år";"Delvis ledige";"Kvinner"
"2025";6820;"I alt";"55-59 år";"Delvis ledige";"Kvinner"
"2025";808;"03 Oslo";"55-59 år";"Delvis ledige";"Kvinner"
"2024";299;"56 Finnmark - Finnmárku - Finmarkku";"55-59 år";"Delvis ledige";"Kvinner"
"2025";88;"55 Troms - Romsa - Tromssa ";"60-64 år";"Delvis ledige";"Kvinner"
"2024";974;"46 Vestland";"60-64 år";"Delvis ledige";"Kvinner"
"2025";160;"56 Finnmark - Finnmárku - Finmarkku";"60-64 år";"Delvis ledige";"Kvinner"
"2025";598;"15 Møre og Romsdal";"35-39 år";"Delvis ledige";"Kvinner"
"2024";896;"15 Møre og Romsdal";"35-39 år";"Delvis ledige";"Kvinner"
"2025";839;"34 Innlandet";"35-39 år";"Delvis ledige";"Kvinner"
"2024";1224;"34 Innlandet";"35-39 år";"Delvis ledige";"Kvinner"
"2025";875;"31 Østfold";"35-39 år";"Delvis ledige";"Kvinner"
"2025";1575;"32 Akershus";"35-39 år";"Delvis ledige";"Kvinner"
"2024";2604;"32 Akershus";"35-39 år";"Delvis ledige";"Kvinner"
"2025";250;"56 Finnmark - Finnmárku - Finmarkku";"35-39 år";"Delvis ledige";"Kvinner"
"2025";;"Ukjent";"20-24 år";"Delvis ledige";"Kvinner"
"2025";525;"42 Agder";"20-24 år";"Delvis ledige";"Kvinner"
"2025";520;"31 Østfold";"20-24 år";"Delvis ledige";"Kvinner"
"2025";264;"18 Nordland - Nordlánnda";"20-24 år";"Delvis ledige";"Kvinner"
"2025";858;"50 Trøndelag - Trööndelage";"20-24 år";"Delvis ledige";"Kvinner"
"2024";170;"56 Finnmark - Finnmárku - Finmarkku";"20-24 år";"Delvis ledige";"Kvinner"
"2024";63;"39 Vestfold";"65-69 år";"Delvis ledige";"Kvinner"
"2025";165;"46 Vestland";"65-69 år";"Delvis ledige";"Kvinner"
"2025";137;"03 Oslo";"65-69 år";"Delvis ledige";"Kvinner"
"2025";;"40 Telemark";"70 år og over";"Delvis ledige";"Kvinner"
"2024";;"15 Møre og Romsdal";"70 år og over";"Delvis ledige";"Kvinner"
"2024";;"Ukjent";"70 år og over";"Delvis ledige";"Kvinner"
"2025";;"33 Buskerud";"70 år og over";"Delvis ledige";"Kvinner"
"2024";;"34 Innlandet";"70 år og over";"Delvis ledige";"Kvinner"
"2024";;"42 Agder";"70 år og over";"Delvis ledige";"Kvinner"
"2025";;"31 Østfold";"70 år og over";"Delvis ledige";"Kvinner"
"2024";;"50 Trøndelag - Trööndelage";"70 år og over";"Delvis ledige";"Kvinner"
"2025";;"56 Finnmark - Finnmárku - Finmarkku";"70 år og over";"Delvis ledige";"Kvinner"
"2024";13;"40 Telemark";"19 år og under";"Delvis ledige";"Kvinner"
"2024";103;"39 Vestfold";"19 år og under";"Delvis ledige";"Kvinner"
"2025";69;"34 Innlandet";"19 år og under";"Delvis ledige";"Kvinner"
"2025";98;"50 Trøndelag - Trööndelage";"19 år og under";"Delvis ledige";"Kvinner"
"2024";162;"50 Trøndelag - Trööndelage";"19 år og under";"Delvis ledige";"Kvinner"
"2025";487;"40 Telemark";"30-34 år";"Delvis ledige";"Kvinner"
"2024";845;"15 Møre og Romsdal";"30-34 år";"Delvis ledige";"Kvinner"
"2024";1520;"11 Rogaland";"30-34 år";"Delvis ledige";"Kvinner"
"2024";1379;"50 Trøndelag - Trööndelage";"30-34 år";"Delvis ledige";"Kvinner"
"2025";241;"55 Troms - Romsa - Tromssa ";"40-44 år";"Delvis ledige";"Kvinner"
"2024";1133;"31 Østfold";"40-44 år";"Delvis ledige";"Kvinner"
"2025";478;"15 Møre og Romsdal";"50-54 år";"Delvis ledige";"Kvinner"
"2025";8591;"I alt";"50-54 år";"Delvis ledige";"Kvinner"
"2025";532;"33 Buskerud";"50-54 år";"Delvis ledige";"Kvinner"
"2025";522;"39 Vestfold";"50-54 år";"Delvis ledige";"Kvinner"
"2025";601;"34 Innlandet";"50-54 år";"Delvis ledige";"Kvinner"
"2025";448;"42 Agder";"50-54 år";"Delvis ledige";"Kvinner"
"2024";877;"31 Østfold";"50-54 år";"Delvis ledige";"Kvinner"
"2024";1510;"03 Oslo";"50-54 år";"Delvis ledige";"Kvinner"
"2024";1513;"32 Akershus";"50-54 år";"Delvis ledige";"Kvinner"
"2024";40393;"I alt";"25-29 år";"Helt ledige";"Kvinner"
"2025";1593;"42 Agder";"25-29 år";"Helt ledige";"Kvinner"
"2025";6824;"40 Telemark";"I alt";"Helt ledige";"Kvinner"
"2025";10269;"33 Buskerud";"I alt";"Helt ledige";"Kvinner"
"2024";16013;"34 Innlandet";"I alt";"Helt ledige";"Kvinner"
"2024";53047;"03 Oslo";"I alt";"Helt ledige";"Kvinner"
"2025";981;"34 Innlandet";"45-49 år";"Helt ledige";"Kvinner"
"2024";370;"55 Troms - Romsa - Tromssa ";"55-59 år";"Helt ledige";"Kvinner"
