"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202501;1222;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202502;1359;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202503;1385;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202504;1224;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202505;1144;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202506;866;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202507;639;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202508;662;"antall";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202501;1417;"antall";"31 Østfold";"fylke";"Delvis ledige"
202502;1534;"antall";"31 Østfold";"fylke";"Delvis ledige"
202503;1538;"antall";"31 Østfold";"fylke";"Delvis ledige"
202504;1474;"antall";"31 Østfold";"fylke";"Delvis ledige"
202505;1513;"antall";"31 Østfold";"fylke";"Delvis ledige"
202506;1504;"antall";"31 Østfold";"fylke";"Delvis ledige"
202507;1181;"antall";"31 Østfold";"fylke";"Delvis ledige"
202508;1339;"antall";"31 Østfold";"fylke";"Delvis ledige"
202501;4716;"antall";"31 Østfold";"fylke";"Helt ledige"
202502;4457;"antall";"31 Østfold";"fylke";"Helt ledige"
202503;4369;"antall";"31 Østfold";"fylke";"Helt ledige"
202504;4017;"antall";"31 Østfold";"fylke";"Helt ledige"
202505;3959;"antall";"31 Østfold";"fylke";"Helt ledige"
202506;4218;"antall";"31 Østfold";"fylke";"Helt ledige"
202507;4406;"antall";"31 Østfold";"fylke";"Helt ledige"
202508;4407;"antall";"31 Østfold";"fylke";"Helt ledige"
202501;0,8;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202502;0,9;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202503;0,9;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202504;0,8;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202505;0,8;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202506;0,6;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202507;0,4;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202508;0,4;"prosent";"31 Østfold";"fylke";"Arbeidssøkere på tiltak"
202501;0,9;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202502;1;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202503;1;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202504;1;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202505;1;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202506;1;"prosent";"31 Østfold";"fylke";"Delvis ledige"
202507;0,8;"prosent";"31 Østfold";"fylke";"Delvis ledige"
