"AAR","AARMND","ANTALL_ARBEIDSSOKERE","BOSTED_FYLKE_NR_NAVN","ALDER_GRUPPE_5AARIG","HOVEDGRUPPETEKST","KJONN"
2025,202507,38,"11 Rogaland","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202502,93,"11 Rogaland","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202504,114,"32 Akershus","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202505,166,"32 Akershus","45-49 år","Delvis ledige","Kvinner"
2024,202405,131,"32 Akershus","65-69 år","Helt ledige","Menn"
2025,202508,154,"32 Akershus","50-54 år","Delvis ledige","Menn"
2025,202502,107,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2025,202503,65,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2024,202412,47,"39 Vestfold","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202406,13,"39 Vestfold","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2025,202505,113,"39 Vestfold","45-49 år","Helt ledige","Kvinner"
2024,202410,37,"40 Telemark","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202411,49,"40 Telemark","35-39 år","Delvis ledige","Menn"
2024,202404,508,"46 Vestland","35-39 år","Helt ledige","Menn"
2024,202411,142,"46 Vestland","50-54 år","Delvis ledige","Kvinner"
2024,202411,140,"46 Vestland","55-59 år","Helt ledige","Kvinner"
2024,202407,259,"34 Innlandet","35-39 år","Helt ledige","Menn"
2025,202506,44,"34 Innlandet","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202401,105,"34 Innlandet","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,35,"18 Nordland - Nordlánnda","25-29 år","Delvis ledige","Menn"
2024,202402,24,"18 Nordland - Nordlánnda","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202404,92,"18 Nordland - Nordlánnda","60-64 år","Helt ledige","Menn"
2024,202410,29,"03 Oslo","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202410,5,"03 Oslo","19 år og under","Delvis ledige","Menn"
2025,202502,133,"42 Agder","45-49 år","Helt ledige","Kvinner"
2025,202502,43,"31 Østfold","19 år og under","Helt ledige","Kvinner"
2024,202412,161,"31 Østfold","20-24 år","Helt ledige","Kvinner"
2024,202401,83,"31 Østfold","45-49 år","Delvis ledige","Menn"
2025,202503,68,"32 Akershus","65-69 år","Helt ledige","Kvinner"
2024,202404,333,"32 Akershus","45-49 år","Helt ledige","Kvinner"
2024,202409,27,"32 Akershus","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202502,89,"33 Buskerud","40-44 år","Delvis ledige","Menn"
2024,202405,11,"40 Telemark","65-69 år","Helt ledige","Kvinner"
2024,202410,17,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,90,"34 Innlandet","25-29 år","Delvis ledige","Menn"
2024,202404,39,"15 Møre og Romsdal","25-29 år","Arbeidssøkere på tiltak","Kvinner"
