"nedbrytning";"aarmnd";"faktisk";"forventet";"indikator";"antall_personer";"feilmargin"
"Hele landet";"2023M12";20.9;21.3;-0.4;276410;0.1
"Hele landet";"2024M1";20.1;20.8;-0.7;283708;0.1
"Hele landet";"2024M2";21.0;21.0;-0.1;290547;0.1
"Hele landet";"2024M3";20.8;20.7;0.1;291878;0.1
"Hele landet";"2024M4";20.6;20.7;-0.1;290690;0.1
"Hele landet";"2024M5";20.8;20.8;0.0;288859;0.1
"Hele landet";"2024M6";20.8;20.9;-0.1;288337;0.1
"Hele landet";"2024M7";20.8;20.7;0.1;286516;0.1
"Hele landet";"2024M8";20.8;20.7;0.1;287512;0.2
"Hele landet";"2024M9";20.8;20.5;0.3;290301;0.2
"Hele landet";"2024M10";20.7;20.8;-0.1;293282;0.1
"Hele landet";"2024M11";21.1;21.1;0.0;300225;0.1
"Hele landet";"2024M12";21.0;21.0;-0.1;303138;0.1
"Hele landet";"2025M1";20.9;20.8;0.1;310837;0.2
"Hele landet";"2025M2";20.5;20.6;-0.1;315477;0.1
"Hele landet";"2025M3";20.6;20.9;-0.3;317844;0.1
"Hele landet";"2025M4";20.4;20.7;-0.3;313493;0.1
"Hele landet";"2025M5";20.7;21.0;-0.3;312491;0.2
"Hele landet";"2025M6";20.4;20.8;-0.3;313666;0.2
"Hele landet";"2025M7";20.5;21.4;-0.9;313626;0.1
"Hele landet";"2025M8";20.6;21.3;-0.7;314526;0.1
"Hele landet";"2025M9";20.3;21.4;-1.1;315505;0.1
"Hele landet";"2025M10";20.6;21.3;-0.7;317946;0.1
"Hele landet";"2025M11";20.3;21.0;-0.7;321372;0.1
"Hele landet";"2025M12";20.2;20.5;-0.3;323297;0.1
"Landgruppe 3";"2023M12";18.7;18.8;-0.1;69762;0.2
"Landgruppe 3";"2024M1";17.6;18.5;-0.8;71274;0.3
"Landgruppe 3";"2024M2";18.6;18.9;-0.3;73532;0.3
"Landgruppe 3";"2024M3";18.5;18.6;-0.1;74643;0.2
"Landgruppe 3";"2024M4";18.5;18.6;-0.1;75432;0.2
"Landgruppe 3";"2024M5";18.9;18.8;0.1;76206;0.2
"Landgruppe 3";"2024M6";19.0;19.0;0.0;77120;0.2
"Landgruppe 3";"2024M7";18.8;18.8;0.0;76573;0.2
