"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2016K1";"00 I alt";673331;100
"2016K1";"03 Oslo";77006;11,4
"2016K1";"11 Rogaland";63897;9,5
"2016K1";"15 Møre og Romsdal";33427;5
"2016K1";"18 Nordland - Nordlánnda";29916;4,4
"2016K1";"31 Østfold";37187;5,5
"2016K1";"32 Akershus";90602;13,5
"2016K1";"33 Buskerud";32533;4,8
"2016K1";"34 Innlandet";43254;6,4
"2016K1";"39 Vestfold";30585;4,5
"2016K1";"40 Telemark";20992;3,1
"2016K1";"42 Agder";38377;5,7
"2016K1";"46 Vestland";79612;11,8
"2016K1";"50 Trøndelag - Trööndelage";57812;8,6
"2016K1";"55 Troms - Romsa - Tromssa ";20636;3,1
"2016K1";"56 Finnmark - Finnmárku - Finmarkku";9468;1,4
"2016K1";"98 Utland";1;0
"2016K1";"99 Ukjent";8026;1,2
"2016K2";"00 I alt";673098;100
"2016K2";"03 Oslo";77331;11,5
"2016K2";"11 Rogaland";63833;9,5
"2016K2";"15 Møre og Romsdal";33326;5
"2016K2";"18 Nordland - Nordlánnda";29776;4,4
"2016K2";"31 Østfold";37196;5,5
"2016K2";"32 Akershus";90831;13,5
"2016K2";"33 Buskerud";32534;4,8
"2016K2";"34 Innlandet";43113;6,4
"2016K2";"39 Vestfold";30483;4,5
"2016K2";"40 Telemark";20918;3,1
"2016K2";"42 Agder";38392;5,7
"2016K2";"46 Vestland";79654;11,8
"2016K2";"50 Trøndelag - Trööndelage";57632;8,6
"2016K2";"55 Troms - Romsa - Tromssa ";20558;3,1
"2016K2";"56 Finnmark - Finnmárku - Finmarkku";9425;1,4
"2016K2";"98 Utland";1;0
"2016K2";"99 Ukjent";8095;1,2
"2016K3";"00 I alt";672903;100
"2016K3";"03 Oslo";77301;11,5
"2016K3";"11 Rogaland";63618;9,5
"2016K3";"15 Møre og Romsdal";33186;4,9
"2016K3";"18 Nordland - Nordlánnda";29652;4,4
"2016K3";"31 Østfold";37181;5,5
"2016K3";"32 Akershus";90960;13,5
"2016K3";"33 Buskerud";32640;4,9
"2016K3";"34 Innlandet";42975;6,4
"2016K3";"39 Vestfold";30488;4,5
"2016K3";"40 Telemark";20842;3,1
"2016K3";"42 Agder";38469;5,7
"2016K3";"46 Vestland";79700;11,8
"2016K3";"50 Trøndelag - Trööndelage";57625;8,6
"2016K3";"55 Troms - Romsa - Tromssa ";20500;3
"2016K3";"56 Finnmark - Finnmárku - Finmarkku";9369;1,4
"2016K3";"98 Utland";1;0
"2016K3";"99 Ukjent";8396;1,2
"2016K4";"00 I alt";673244;100
"2016K4";"03 Oslo";77250;11,5
"2016K4";"11 Rogaland";63736;9,5
"2016K4";"15 Møre og Romsdal";33095;4,9
"2016K4";"18 Nordland - Nordlánnda";29526;4,4
"2016K4";"31 Østfold";37215;5,5
"2016K4";"32 Akershus";91216;13,5
"2016K4";"33 Buskerud";32564;4,8
"2016K4";"34 Innlandet";42937;6,4
"2016K4";"39 Vestfold";30478;4,5
"2016K4";"40 Telemark";20848;3,1
"2016K4";"42 Agder";38512;5,7
"2016K4";"46 Vestland";79807;11,9
"2016K4";"50 Trøndelag - Trööndelage";57610;8,6
"2016K4";"55 Troms - Romsa - Tromssa ";20565;3,1
"2016K4";"56 Finnmark - Finnmárku - Finmarkku";9323;1,4
"2016K4";"98 Utland";2;0
"2016K4";"99 Ukjent";8560;1,3
"2017K1";"00 I alt";675039;100
"2017K1";"03 Oslo";78136;11,6
"2017K1";"11 Rogaland";63970;9,5
"2017K1";"15 Møre og Romsdal";33226;4,9
